,0,1,2,3,4,5
135,0,2013,NISSAN,PATHFINDER,"$18,480 ","56,842 miles"
136,1,2015,HONDA,CR-V,"$14,933 ","32,642 miles"
137,1,2015,BMW,X5,"$14,933 ","26,823 miles"
138,1,2014,HONDA,CR-V,"$26,995 ","43,051 miles"
140,1,2014,HONDA,CR-V,"$17,218 ","22,729 miles"
141,0,2017,BMW,X1,"$39,995 ","6,581 miles"
142,1,2016,HONDA,PILOT,"$39,995 ","13,839 miles"
143,1,2014,HONDA,CR-V,"$34,913 ","50,560 miles"
144,1,2013,TOYOTA,RAV4,"$34,913 ","42,393 miles"
145,0,2014,JEEP,PATRIOT,"$15,356 ","39,995 miles"
146,0,2016,LEXUS,NX,"$15,995 ","18,978 miles"
147,0,2017,MAZDA,CX-3,"$15,995 ","6,334 miles"
148,1,2015,LEXUS,NX 200T F,"$32,800 ","23,516 miles"
149,1,2015,HONDA,PILOT,"$32,800 ","32,059 miles"
150,0,2017,JEEP,COMPASS,"$14,597 ","10,267 miles"
152,0,2011,AUDI,Q5 PREMIUM,"$33,995 ","91,395 miles"
154,1,2014,HONDA,PILOT,"$19,888 ","41,981 miles"
155,0,2015,LEXUS,RX,"$24,995 ","34,328 miles"
156,0,2012,HONDA,ACCORD CROSSTOUR,"$32,481 ","38,045 miles"
157,1,2015,HONDA,CR-V,"$32,481 ","38,398 miles"
158,0,2015,JEEP,WRANGLER UNLIMITED,"$18,513 ","28,138 miles"
159,0,2012,MERCEDES-BENZ,M-CLASS ML 350,"$18,513 ","77,001 miles"
160,0,2014,BMW,X6,"$36,995 ","42,102 miles"
161,0,2015,MAZDA,CX-5 GRAND,"$27,797 ","24,195 miles"
162,0,2014,FORD,EXPLORER,"$27,797 ","59,745 miles"
163,0,2014,MAZDA,CX-9,"$36,995 ","35,307 miles"
164,1,2014,FORD,EDGE,"$36,995 ","34,350 miles"
165,1,2015,FORD,EXPLORER,"$21,990 ","21,860 miles"
168,0,2015,HONDA,PILOT,"$16,980 ","49,364 miles"
169,1,2015,BMW,X3,"$27,995 ","22,547 miles"
170,0,2017,BMW,X3,"$27,995 ","3,124 miles"
172,0,2014,JEEP,CHEROKEE,"$66,900 ","36,642 miles"
175,1,2014,FORD,ESCAPE,"$45,988 ","50,220 miles"
176,0,2017,JEEP,GRAND CHEROKEE LIMITED,"$45,988 ","17,879 miles"
