,Unnamed: 0,Unnamed: 0.1,UC,year,brand,model,price,mileage,Oprice,D_rate
2486,2486,2486,0,2017,JEEP,WRANGLER UNLIMITED,36995,"1,639 miles",30720,0.795735677083
2487,2487,2487,1,2014,JEEP,GRAND CHEROKEE LIMITED,6997,"33,539 miles",46937,0.149072160556
2488,2488,2488,0,2011,JEEP,LIBERTY,6997,"70,174 miles",25750,0.27172815534
2489,2489,2489,0,2016,JEEP,RENEGADE,35998,"41,726 miles",22495,0.399733274061
2490,2490,2490,0,2010,JEEP,WRANGLER,19495,"67,024 miles",26607,0.732701920547
2491,2491,2491,0,2014,JEEP,GRAND CHEROKEE LIMITED,19495,"43,395 miles",46937,0.415343971707
2492,2492,2492,0,2015,JEEP,WRANGLER UNLIMITED,24995,"38,836 miles",29495,0.847431768096
2493,2493,2493,0,2014,JEEP,CHEROKEE,24995,"30,628 miles",26545,0.941608589188
2494,2494,2494,0,2014,JEEP,PATRIOT LIMITED,29997,"23,103 miles",21395,0.59794344473
2495,2495,2495,0,2015,JEEP,GRAND CHEROKEE,29997,"33,835 miles",47445,0.63224786595
2496,2496,2496,0,2008,JEEP,COMPASS,22990,"126,523 miles",20340,0.869714847591
2497,2497,2497,0,2016,JEEP,WRANGLER UNLIMITED,22990,"21,843 miles",30445,0.755132205617
2498,2498,2498,0,2016,JEEP,RENEGADE,15551,"27,900 miles",22495,0.691309179818
2499,2499,2499,0,2015,JEEP,WRANGLER UNLIMITED,15551,"30,795 miles",29495,0.527241905408
2500,2500,2500,0,2017,JEEP,GRAND CHEROKEE,36995,"22,489 miles",48645,0.760509816014
2501,2501,2501,0,2017,JEEP,WRANGLER UNLIMITED,36995,"1,639 miles",30720,0.795735677083
2502,2502,2502,1,2014,JEEP,GRAND CHEROKEE LIMITED,6997,"33,539 miles",46937,0.149072160556
2503,2503,2503,0,2011,JEEP,LIBERTY,6997,"70,174 miles",25750,0.27172815534
2504,2504,2504,0,2016,JEEP,RENEGADE,35998,"41,726 miles",22495,0.399733274061
2505,2505,2505,0,2010,JEEP,WRANGLER,19495,"67,024 miles",26607,0.732701920547
2506,2506,2506,0,2014,JEEP,GRAND CHEROKEE LIMITED,19495,"43,395 miles",46937,0.415343971707
2507,2507,2507,0,2015,JEEP,WRANGLER UNLIMITED,24995,"38,836 miles",29495,0.847431768096
2508,2508,2508,0,2014,JEEP,CHEROKEE,24995,"30,628 miles",26545,0.941608589188
2509,2509,2509,0,2014,JEEP,PATRIOT LIMITED,29997,"23,103 miles",21395,0.59794344473
2510,2510,2510,0,2015,JEEP,GRAND CHEROKEE,29997,"33,835 miles",47445,0.63224786595
2511,2511,2511,0,2008,JEEP,COMPASS,22990,"126,523 miles",20340,0.869714847591
2512,2512,2512,0,2016,JEEP,WRANGLER UNLIMITED,22990,"21,843 miles",30445,0.755132205617
2513,2513,2513,0,2016,JEEP,RENEGADE,15551,"27,900 miles",22495,0.691309179818
2514,2514,2514,0,2015,JEEP,WRANGLER UNLIMITED,15551,"30,795 miles",29495,0.527241905408
2515,2515,2515,0,2017,JEEP,GRAND CHEROKEE,36995,"22,489 miles",48645,0.760509816014
2516,2516,2516,0,2017,JEEP,WRANGLER UNLIMITED,36995,"1,639 miles",30720,0.795735677083
2517,2517,2517,1,2014,JEEP,GRAND CHEROKEE LIMITED,6997,"33,539 miles",46937,0.149072160556
2518,2518,2518,0,2011,JEEP,LIBERTY,6997,"70,174 miles",25750,0.27172815534
2519,2519,2519,0,2016,JEEP,RENEGADE,35998,"41,726 miles",22495,0.399733274061
2520,2520,2520,0,2010,JEEP,WRANGLER,19495,"67,024 miles",26607,0.732701920547
2521,2521,2521,0,2014,JEEP,GRAND CHEROKEE LIMITED,19495,"43,395 miles",46937,0.415343971707
2522,2522,2522,0,2015,JEEP,WRANGLER UNLIMITED,24995,"38,836 miles",29495,0.847431768096
2523,2523,2523,0,2014,JEEP,CHEROKEE,24995,"30,628 miles",26545,0.941608589188
2524,2524,2524,0,2014,JEEP,PATRIOT LIMITED,29997,"23,103 miles",21395,0.59794344473
2525,2525,2525,0,2015,JEEP,GRAND CHEROKEE,29997,"33,835 miles",47445,0.63224786595
2526,2526,2526,0,2008,JEEP,COMPASS,22990,"126,523 miles",20340,0.869714847591
2527,2527,2527,0,2016,JEEP,WRANGLER UNLIMITED,22990,"21,843 miles",30445,0.755132205617
2528,2528,2528,0,2016,JEEP,RENEGADE,15551,"27,900 miles",22495,0.691309179818
2529,2529,2529,0,2015,JEEP,WRANGLER UNLIMITED,15551,"30,795 miles",29495,0.527241905408
2530,2530,2530,0,2017,JEEP,GRAND CHEROKEE,36995,"22,489 miles",48645,0.760509816014
2531,2531,2531,0,2017,JEEP,WRANGLER UNLIMITED,36995,"1,639 miles",30720,0.795735677083
2532,2532,2532,1,2014,JEEP,GRAND CHEROKEE LIMITED,6997,"33,539 miles",46937,0.149072160556
2533,2533,2533,0,2011,JEEP,LIBERTY,6997,"70,174 miles",25750,0.27172815534
2534,2534,2534,0,2016,JEEP,RENEGADE,35998,"41,726 miles",22495,0.399733274061
2535,2535,2535,0,2010,JEEP,WRANGLER,19495,"67,024 miles",26607,0.732701920547
2536,2536,2536,0,2014,JEEP,GRAND CHEROKEE LIMITED,19495,"43,395 miles",46937,0.415343971707
2537,2537,2537,0,2015,JEEP,WRANGLER UNLIMITED,24995,"38,836 miles",29495,0.847431768096
2538,2538,2538,0,2014,JEEP,CHEROKEE,24995,"30,628 miles",26545,0.941608589188
2539,2539,2539,0,2014,JEEP,PATRIOT LIMITED,29997,"23,103 miles",21395,0.59794344473
2540,2540,2540,0,2015,JEEP,GRAND CHEROKEE,29997,"33,835 miles",47445,0.63224786595
2541,2541,2541,0,2008,JEEP,COMPASS,22990,"126,523 miles",20340,0.869714847591
2542,2542,2542,0,2016,JEEP,WRANGLER UNLIMITED,22990,"21,843 miles",30445,0.755132205617
2543,2543,2543,0,2016,JEEP,RENEGADE,15551,"27,900 miles",22495,0.691309179818
2544,2544,2544,0,2015,JEEP,WRANGLER UNLIMITED,15551,"30,795 miles",29495,0.527241905408
2545,2545,2545,0,2017,JEEP,GRAND CHEROKEE,36995,"22,489 miles",48645,0.760509816014
2546,2546,2546,0,2017,JEEP,WRANGLER UNLIMITED,36995,"1,639 miles",30720,0.795735677083
2547,2547,2547,1,2014,JEEP,GRAND CHEROKEE LIMITED,6997,"33,539 miles",46937,0.149072160556
2548,2548,2548,0,2011,JEEP,LIBERTY,6997,"70,174 miles",25750,0.27172815534
2549,2549,2549,0,2016,JEEP,RENEGADE,35998,"41,726 miles",22495,0.399733274061
2550,2550,2550,0,2010,JEEP,WRANGLER,19495,"67,024 miles",26607,0.732701920547
2551,2551,2551,0,2014,JEEP,GRAND CHEROKEE LIMITED,19495,"43,395 miles",46937,0.415343971707
2552,2552,2552,0,2015,JEEP,WRANGLER UNLIMITED,24995,"38,836 miles",29495,0.847431768096
2553,2553,2553,0,2014,JEEP,CHEROKEE,24995,"30,628 miles",26545,0.941608589188
2554,2554,2554,0,2014,JEEP,PATRIOT LIMITED,29997,"23,103 miles",21395,0.59794344473
2555,2555,2555,0,2015,JEEP,GRAND CHEROKEE,29997,"33,835 miles",47445,0.63224786595
2556,2556,2556,0,2008,JEEP,COMPASS,22990,"126,523 miles",20340,0.869714847591
2557,2557,2557,0,2016,JEEP,WRANGLER UNLIMITED,22990,"21,843 miles",30445,0.755132205617
2558,2558,2558,0,2016,JEEP,RENEGADE,15551,"27,900 miles",22495,0.691309179818
2559,2559,2559,0,2015,JEEP,WRANGLER UNLIMITED,15551,"30,795 miles",29495,0.527241905408
2560,2560,2560,0,2017,JEEP,GRAND CHEROKEE,36995,"22,489 miles",48645,0.760509816014
2561,2561,2561,0,2017,JEEP,WRANGLER UNLIMITED,36995,"1,639 miles",30720,0.795735677083
2562,2562,2562,1,2014,JEEP,GRAND CHEROKEE LIMITED,6997,"33,539 miles",46937,0.149072160556
2563,2563,2563,0,2011,JEEP,LIBERTY,6997,"70,174 miles",25750,0.27172815534
2564,2564,2564,0,2016,JEEP,RENEGADE,35998,"41,726 miles",22495,0.399733274061
2565,2565,2565,0,2010,JEEP,WRANGLER,19495,"67,024 miles",26607,0.732701920547
2566,2566,2566,0,2014,JEEP,GRAND CHEROKEE LIMITED,19495,"43,395 miles",46937,0.415343971707
2567,2567,2567,0,2015,JEEP,WRANGLER UNLIMITED,24995,"38,836 miles",29495,0.847431768096
2568,2568,2568,0,2014,JEEP,CHEROKEE,24995,"30,628 miles",26545,0.941608589188
2569,2569,2569,0,2014,JEEP,PATRIOT LIMITED,29997,"23,103 miles",21395,0.59794344473
2570,2570,2570,0,2015,JEEP,GRAND CHEROKEE,29997,"33,835 miles",47445,0.63224786595
2571,2571,2571,0,2008,JEEP,COMPASS,22990,"126,523 miles",20340,0.869714847591
2572,2572,2572,0,2016,JEEP,WRANGLER UNLIMITED,22990,"21,843 miles",30445,0.755132205617
2573,2573,2573,0,2016,JEEP,RENEGADE,15551,"27,900 miles",22495,0.691309179818
2574,2574,2574,0,2015,JEEP,WRANGLER UNLIMITED,15551,"30,795 miles",29495,0.527241905408
2575,2575,2575,0,2017,JEEP,GRAND CHEROKEE,36995,"22,489 miles",48645,0.760509816014
