,Unnamed: 0,Unnamed: 0.1,UC,year,brand,model,price,mileage,Oprice,D_rate
108,108,108,0,2016,TOYOTA,HIGHLANDER HYBRID,12795,"14,446 miles",49177,0.26018260569
109,109,109,0,2012,TOYOTA,4RUNNER,34992,"54,472 miles",35860,0.97579475739
110,110,110,0,2015,TOYOTA,RAV4,34992,"30,552 miles",26765,0.692620960209
111,111,111,0,2015,TOYOTA,4RUNNER,44992,"28,488 miles",38415,0.828790836913
112,112,112,0,2017,TOYOTA,4RUNNER LIMITED,44992,"13,028 miles",39385,0.857636155897
113,113,113,0,2015,TOYOTA,HIGHLANDER,28992,"24,324 miles",36952,0.784585408097
114,114,114,0,2015,TOYOTA,RAV4,28992,"33,855 miles",26765,0.916794320942
115,115,115,0,2015,TOYOTA,HIGHLANDER,19922,"35,606 miles",36952,0.53913184672
116,116,116,0,2004,TOYOTA,4RUNNER,19922,"167,184 miles",0,
117,117,117,0,2011,TOYOTA,HIGHLANDER,31992,"60,429 miles",32567,0.982344090644
118,118,118,0,2013,TOYOTA,RAV4,31992,"32,688 miles",25855,0.762637787662
119,119,119,0,2016,TOYOTA,HIGHLANDER HYBRID,40900,"8,960 miles",49177,0.831689610997
120,120,120,0,2001,TOYOTA,4RUNNER,4516,"154,420 miles",0,
121,121,121,0,2008,TOYOTA,RAV4 LIMITED,4516,"60,439 miles",24285,0.185958410541
122,122,122,0,2015,TOYOTA,HIGHLANDER,12795,"33,054 miles",36952,0.34626001299
123,123,123,0,2016,TOYOTA,HIGHLANDER HYBRID,12795,"14,446 miles",49177,0.26018260569
124,124,124,0,2012,TOYOTA,4RUNNER,34992,"54,472 miles",35860,0.97579475739
125,125,125,0,2015,TOYOTA,RAV4,34992,"30,552 miles",26765,0.692620960209
126,126,126,0,2015,TOYOTA,4RUNNER,44992,"28,488 miles",38415,0.828790836913
127,127,127,0,2017,TOYOTA,4RUNNER LIMITED,44992,"13,028 miles",39385,0.857636155897
128,128,128,0,2015,TOYOTA,HIGHLANDER,28992,"24,324 miles",36952,0.784585408097
129,129,129,0,2015,TOYOTA,RAV4,28992,"33,855 miles",26765,0.916794320942
130,130,130,0,2015,TOYOTA,HIGHLANDER,19922,"35,606 miles",36952,0.53913184672
131,131,131,0,2004,TOYOTA,4RUNNER,19922,"167,184 miles",0,
132,132,132,0,2011,TOYOTA,HIGHLANDER,31992,"60,429 miles",32567,0.982344090644
133,133,133,0,2013,TOYOTA,RAV4,31992,"32,688 miles",25855,0.762637787662
134,134,134,0,2016,TOYOTA,HIGHLANDER HYBRID,40900,"8,960 miles",49177,0.831689610997
135,135,135,0,2001,TOYOTA,4RUNNER,4516,"154,420 miles",0,
