,Unnamed: 0,UC,year,brand,model,price,mileage,Oprice,D_rate
611,611,1,2014,HONDA,CR-V,21895,"32,956 miles",26870,0.8148492742835877
612,612,1,2016,HONDA,CR-V,5999,"48,739 miles",28670,0.20924311126613185
613,613,1,2014,HONDA,CR-V,5999,"35,946 miles",26870,0.22326014142165984
614,614,1,2016,HONDA,CR-V,19995,"35,227 miles",28670,0.6974189047785141
615,615,1,2014,HONDA,CR-V,18895,"43,051 miles",26870,0.7032005954596204
616,616,1,2014,HONDA,CR-V,18895,"18,595 miles",26870,0.7032005954596204
617,617,0,2008,HONDA,CR-V,17795,"113,079 miles",24550,0.724847250509165
618,618,1,2016,HONDA,PILOT,17795,"30,104 miles",38557,0.4615244962004305
619,619,1,2017,HONDA,PILOT,10988,"2,943 miles",38982,0.281873685290647
620,620,1,2015,HONDA,CR-V,10988,"46,084 miles",28215,0.38943824206982103
621,621,0,2001,HONDA,CR-V,32904,"172,175 miles",0,
622,622,1,2016,HONDA,CR-V,32904,"32,241 miles",28670,1.1476805022671783
623,623,1,2016,HONDA,CR-V,31795,"36,954 miles",28670,1.1089989536100453
624,624,1,2014,HONDA,PILOT,31795,"41,981 miles",35545,0.8944999296666197
625,625,1,2015,HONDA,CR-V,21895,"22,175 miles",28215,0.7760056707425128
626,626,1,2014,HONDA,CR-V,21895,"32,956 miles",26870,0.8148492742835877
627,627,1,2016,HONDA,CR-V,5999,"48,739 miles",28670,0.20924311126613185
628,628,1,2014,HONDA,CR-V,5999,"35,946 miles",26870,0.22326014142165984
629,629,1,2016,HONDA,CR-V,19995,"35,227 miles",28670,0.6974189047785141
630,630,1,2014,HONDA,CR-V,18895,"43,051 miles",26870,0.7032005954596204
631,631,1,2014,HONDA,CR-V,18895,"18,595 miles",26870,0.7032005954596204
632,632,0,2008,HONDA,CR-V,17795,"113,079 miles",24550,0.724847250509165
633,633,1,2016,HONDA,PILOT,17795,"30,104 miles",38557,0.4615244962004305
634,634,1,2017,HONDA,PILOT,10988,"2,943 miles",38982,0.281873685290647
635,635,1,2015,HONDA,CR-V,10988,"46,084 miles",28215,0.38943824206982103
636,636,0,2001,HONDA,CR-V,32904,"172,175 miles",0,
637,637,1,2016,HONDA,CR-V,32904,"32,241 miles",28670,1.1476805022671783
638,638,1,2016,HONDA,CR-V,31795,"36,954 miles",28670,1.1089989536100453
